RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,RSI,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,RSI_Level
58.6,99.2,62.2,84.9,8.249,7.321,8.59,89,14.3,0.143,6.1,2.259,1.463,3.538,0.899,0.468,65,17.28808,7.319,3.837,2.8,3.9,3.4,2.3,3.8,2.2,3.3,4.2,0.369,950,950,509.2058203,1.606580544,2763.091613,6366.4,2
56.5,77.6,63,76.6,8.009,7.181,9.502,88.9,17.1,0.527,6.4,2.499,1.595,3.057,0.891,1.579,57.6,16.04785,7.18,3.876,3,3,3,3,3,3,3,3,0.32,1545,772.5,201.5254326,3.833263077,5922.391454,7447.3,1
70,58,61,80,6.05,5.5,6.89,91,12,2.88,6,1.74,1.41,2.34,0.56,0.1,53,16.6699,6.65,3.34,3.6,2.7,3,2.6,1.4,2.2,4.5,3,0.308,0,169.2,15.82269467,7.864407725,6791.902345,2007.7,0
60,114,60,73,7.89,7.36,10.09,93,15,0,6,2.97,1.23,3.16,0.55,1.82,75,16.4062,7.36,4.49,2.1,3.8,2.9,2.2,3.2,2.8,1.9,3.1,0.33,1095,547.5,74.24621202,7.374113575,8074.654365,5720.5,1
56.1,75.6,67,75.7,7.969,7.116,9.547,89,13.5,0.718,5.9,2.489,1.647,3.016,0.887,1.375,68.4,16.54494,7.119,3.734,3.1,3.6,2.8,3.4,3,2.7,2.8,3.3,0.45,1380,690,212.1320344,3.252691193,4488.713847,6209.1,3
62,111,57,100,9.93,9.46,8.95,95,10.9,0,8,2.28,1.97,5.21,0.48,1.03,75,17.7148,9.46,4.96,2,6,1,2,2,4,6,4,0.35,1545,772.5,201.5254326,3.833263077,5922.391454,6919.5,1
63,43,22,67,6.75,6.28,9.32,93,10,2.39,4,2.69,1.34,2.25,0.47,1.42,73,17.4609,6.28,4.31,3,3,3,3,4,3,3,4,0.34,1545,772.5,201.5254326,3.833263077,5922.391454,5665.9,1
61,105,80,71,8.27,7.16,10.06,87,15,1.43,6,2.19,1.71,3.26,1.12,1.41,60,17.8711,7.16,3.64,3.5,4,3.7,3.2,1.8,2.1,2.4,2.1,0.338,0,158.45,55.78672869,5.36235218,3574.158423,6278.2,1
47,162,91,100,7.49,7.32,6.39,98,4.2,0,7,2.64,1.79,2.89,0.18,0.7,45,11.7188,10.12,2.5,4,3,3,3,5,4,5,4,0.318,1129.3,667.9166667,155.9031818,3.01631679,4410.189341,7173.13,0
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
54,76,61,100,9.99,8.7,8.72,87,19,13.51,6,2.43,1.64,4.64,1.3,0,46,15.2588,8.7,4.78,1.9,2.1,2.4,2.1,3,3,2.3,3,0.277,1705.6,643.2,72.34200606,9.638668772,12472.86816,6715.14,0
60,42,34,29,3.48,3.05,10.63,88,6.9,2.87,1,0.39,0.69,1.98,0.43,2.07,50,14.7656,3.05,4.45,4,6,5,2,1,2,2,3,0.361,0,162.5,18.32558518,6.879376188,3345.800718,6133.19,2
67,69,57,73,7.24,6.71,9.15,93,10,0.95,4,2.12,1.02,3.57,0.53,0.94,71.1,18.5156,6.71,2.71,1,3,2,2,5,4,4,5,0.377,2039.1,716.15,73.98193558,9.269491232,20434.65573,6660.29,2
51,62,20,86,8.43,7.32,8.47,87,14,0,5,1.38,1.12,4.81,1.12,0.1,87,15.9375,7.32,1.31,3,4,4,4,5,2,3,4,0.378,261.7,212.7166667,13.7221586,7.278189638,6580.692031,6108.29,2
61,69,76,100,9.61,9.14,8.76,95,13,1.91,7,2.61,2.01,4.51,0.48,0.4,71,17.8711,9.14,3.69,1.6,2.5,2,2.1,3.4,2.8,3.5,4.4,0.37,1842.4,735.1833333,82.46044469,9.318170081,19339.44647,6789.97,2
54,75,76,52,5.57,5.28,10.11,95,6.6,7.67,2,1.2,0.87,3.21,0.3,1.57,79,15.293,5.28,4.62,3,6,6,4,3,1.7,3,5,0.379,255.7,153.1083333,15.70943539,7.202363621,9092.671708,6600.74,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
60,147,96,82,9.43,8.39,10.28,89,18,8.19,8,1.86,1.24,5.29,1.05,1.73,55,15.8203,8.39,2.65,3,3,3,3,3,3,3,3,0.328,261.3,217.375,11.83201294,7.435995244,4763.0072,6037.69,1
77,27,22,69,6.17,5.51,8.01,89,9.2,1.91,4,1.41,1.42,2.68,0.67,0.99,59,17.3438,6.55,3.04,3.8,3,3,2.9,3,3.3,3.8,3,0.335,226.2,123.625,48.65411709,5.041376045,2237.283385,3607.07,1
60,131,80,67,7.35,6.82,10.19,93,10.6,6.23,3,1.78,1,4.05,0.53,1.33,81,16.4941,6.82,2.94,2.2,3.3,2.9,2,1,1.7,2.6,4.3,0.39,62,246.3,26.13693711,8.362194349,9991.254505,5987.11,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
59,110,56,86,7.8,7.32,8.55,94,9.4,7.21,7,1.52,1.84,3.96,0.48,0,75,17.3242,7.32,4.03,2,6,1,2,2,4,6,4,0.368,2143.1,719.0333333,77.64268394,12.07554934,17889.69118,7215.82,2
59,65,36,52,5.43,5.13,9.86,95,7.5,1.91,5,1.64,0.57,2.93,0.3,1.26,80,17.6367,5.13,2.21,3,3,3,3,4,3,3,4,0.381,322,148.85,1.638010441,7.220622157,7719.545034,4805.77,2
58,79,46,96,10.66,8.63,9,81,22,1.43,11,2.85,2.13,3.65,2.04,1.1,56,17.5195,8.63,4.16,1.6,2.1,2.5,1.8,1.5,2.2,2.9,1.1,0.29,0,191.5333333,16.33416665,7.618205858,6159.447566,6110.1,0
49,125,63,70,6.21,5.84,8.3,94,6,3.83,4,1.57,1.13,3.14,0.38,0,67,11.9531,5.84,3.14,4,3,3,3,5,4,5,4,0.346,345.2,105.875,43.52802687,5.945812704,4284.890152,4492.39,1
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,95,84,67,6.55,5.65,8.38,86,14,0,4,2.27,0.97,2.42,0.91,0,60,15.1172,5.65,4.2,4,5.3,4.1,4.5,1.8,2.4,2.4,2.4,0.351,0,147.65,53.86460449,4.271374756,2865.280543,5904.28,1
57,47,42,31,3.3,2.76,8.86,84,11,1.91,3,0.56,0.35,1.85,0.55,2.72,44,14.2383,5,2.78,4,6,5,2,1,2,2,3,0.369,2554.6,765.9666667,78.85932415,10.4596337,25871.78439,6653.86,2
53.7,93.5,58.5,77.9,8.176,7.277,9.26,89.1,13.7,8.865,5.5,2.228,1.868,3.098,0.903,1.18,78,16.2273,7.28,4.085,1,3,2,2,5,4,4,5,0.384,1516.1,651.9,142.2468607,4.56940681,8468.868055,7293.43,2
51,58,25,100,11.16,9.73,8.65,87,23,0,8,2.72,2.06,4.95,1.45,0.54,66,15.3711,9.73,3.78,3,4,4,4,5,2,3,4,0.473,287.7,265.925,81.18160782,5.370639858,4553.978452,8182.17,3
59,83,94,87,8.2,7.15,8.22,87,14,2.4,4,1.77,0.88,4.51,1.06,0,76,18.0469,7.15,5.04,3.2,2.9,2.1,3.1,3.2,3.3,2.8,3.1,0.368,331,126.0416667,54.69699317,5.41183085,7381.108869,6443.34,2
56.4,100.4,74.3,71.4,7.931,7.18,9.975,89.8,14.4,1.245,5.9,2.555,1.613,3.009,0.795,1.371,73.8,16.68798,7.181,3.252,3,6,6,4,3,2.1,3,5,0.367,202.9,148.625,55.20745118,4.939001902,4672.744324,6291.19,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.1,80.8,70.4,74.8,7.914,7.18,9.649,90,15.5,1.44,6.7,2.626,1.505,2.849,0.801,1.417,56.6,16.78979,7.18,3.507,3,3,3,3,3,3,3,3,0.315,268.4,146.825,55.59564779,5.422313902,3821.539277,7025.73,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
61,119,69,73,8.4,7.46,10.26,89,17,8.65,8,2.89,0.89,3.68,0.96,1.62,67,16.377,7.46,4.02,3,3.9,3.5,1.9,1.2,2.2,2.2,1.6,0.351,0,180.35,12.15686322,7.610844424,6957.264844,5950.27,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
59,120,73,95,9.16,8.45,8.88,92,18,1.91,8,2.66,1.7,4.1,0.72,0.69,79,17.4316,8.45,2.45,2,6,1,2,2,4,6,4,0.364,2160.8,739.05,76.85202211,9.235596246,20073.51268,6816.78,2
59.3,91.4,82,84.6,7.931,7.141,8.517,89.8,16.5,0.527,5.9,2.259,1.523,3.36,0.79,0.038,60,17.30126,7.13,3.553,3,3,3,3,4,3,3,4,0.325,279.2,134.875,54.96963629,4.958300347,3100.469061,6595.92,1
55,89,53,72,6.6,5.9,8.18,89,15,0,5,2.21,1.49,2.2,0.71,0.2,60,17.2266,5.9,4.42,3.2,3.3,2.4,3.2,3.7,2.9,3.2,3.1,0.349,633.5,354.375,165.4344253,2.15036203,1234.461459,5920.32,1
52,132,68,79,7.53,7.18,9.12,95,7,0,7,2.7,1.29,3.19,0.35,1.16,56,12.1143,7.18,1.08,4,3,3,3,5,4,5,4,0.316,963.5,644.2833333,150.3624992,3.607590378,4398.906471,7240.36,0
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,79,65,94,10.26,8.58,9.12,84,20,11.54,9,3.26,1.37,3.95,1.7,1.27,54,15.5566,8.58,0.91,1.9,2.6,2.3,2.4,1.8,2,2.9,2.2,0.273,0,238.0333333,21.40017596,8.252589756,7069.100393,6142.43,0
55.9,87.3,81.8,77,7.967,7.235,9.435,90,14.2,0.622,6.2,2.193,1.644,3.481,0.803,1.237,47.8,17.13599,7.24,3.107,4,6,5,2,1,2,2,3,0.318,0,127,57.27606073,5.821193949,3153.253811,6443.95,0
53.7,93.5,58.5,77.9,8.176,7.277,9.26,89.1,13.7,8.865,5.5,2.228,1.868,3.098,0.903,1.18,78,16.2273,7.28,4.085,1,3,2,2,5,4,4,5,0.384,1516.1,651.9,142.2468607,4.56940681,8468.868055,7293.43,2
50,117,60,100,10.5,9.75,7.72,93,15,2.87,10,2.69,1.76,5.3,0.76,0,76,15.5859,9.75,4.25,3,4,4,4,5,2,3,4,0.383,292.6,172.65,48.2538094,5.142779574,5137.961258,6303.41,2
61,67,67,76,7.2,6.61,8.66,92,12.9,0,3,1.46,1.58,3.57,0.6,0.64,70,17.8125,6.61,3.36,1.7,2,2.9,1.8,1.3,1.8,2.5,3.8,0.358,685.5,626.0333333,50.16896941,8.705646214,7850.626734,6960.34,1
56.4,100.4,74.3,71.4,7.931,7.18,9.975,89.8,14.4,1.245,5.9,2.555,1.613,3.009,0.795,1.371,73.8,16.68798,7.181,3.252,3,6,6,4,3,2.1,3,5,0.367,202.9,148.625,55.20745118,4.939001902,4672.744324,6291.19,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.1,80.8,70.4,74.8,7.914,7.18,9.649,90,15.5,1.44,6.7,2.626,1.505,2.849,0.801,1.417,56.6,16.78979,7.18,3.507,3,3,3,3,3,3,3,3,0.315,268.4,146.825,55.59564779,5.422313902,3821.539277,7025.73,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
61,117,69,91,9.8,9.05,10,92,13,0,9,3.75,1.29,4.02,0.76,1.33,74,16.6406,9.05,4.36,4.3,4.5,3.9,3.2,2,2.2,1.6,1.8,0.377,0,117.2,53.62348251,4.624338595,4066.428853,6270.92,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
57,128,83,100,8.73,8.21,7.95,94,11.5,0,6,2.91,1.73,3.58,0.52,0.25,78,17.3438,8.21,4.64,2,6,1,2,2,4,6,4,0.363,2264.8,686.475,77.57659802,12.52559314,30176.53199,6917.39,2
59.3,91.4,82,84.6,7.931,7.141,8.517,89.8,16.5,0.527,5.9,2.259,1.523,3.36,0.79,0.038,60,17.30126,7.13,3.553,3,3,3,3,4,3,3,4,0.325,279.2,134.875,54.96963629,4.958300347,3100.469061,6595.92,1
62,76,34,58,5.97,5.59,9.59,94,9,1.43,5,1.96,1.38,2.24,0.39,1.07,70,16.4648,5.59,4.17,2,2.4,2.4,2.2,1.3,1.7,3.8,2.8,0.375,111.5,250.625,34.30107488,8.549508621,7320.319462,5937.93,2
49,137,70,83,7.86,7.17,8.67,91,7,13.47,6,2.37,1.63,3.17,0.7,0.81,62,12.1875,7.17,3.89,4,3,3,3,5,4,5,4,0.321,337.9,102.25,14.50541199,6.6288387,4003.25446,5015.62,1
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,92,81,86,7.63,6.95,8.05,91,10,2.39,5,3.01,1.17,2.77,0.68,0.3,62,15.1758,6.95,4.07,4.1,5.3,4,3.9,3.6,2.2,2.4,3.3,0.354,256,103.4583333,46.43283717,4.540253096,2109.527481,3747.49,1
55.9,87.3,81.8,77,7.967,7.235,9.435,90,14.2,0.622,6.2,2.193,1.644,3.481,0.803,1.237,47.8,17.13599,7.24,3.107,4,6,5,2,1,2,2,3,0.318,0,127,57.27606073,5.821193949,3153.253811,6443.95,0
53.7,93.5,58.5,77.9,8.176,7.277,9.26,89.1,13.7,8.865,5.5,2.228,1.868,3.098,0.903,1.18,78,16.2273,7.28,4.085,1,3,2,2,5,4,4,5,0.384,1516.1,651.9,142.2468607,4.56940681,8468.868055,7293.43,2
57.5,76.9,76.5,74.8,7.903,7.18,9.757,89.9,14.3,0.765,6,2.489,1.583,3.051,0.784,1.472,57.9,16.65576,7.182,3.436,3,4,4,4,5,2,3,4,0.336,225.6,197.35,55.58613083,4.765512434,2969.575083,6118.86,1
69,57,38,80,8.29,6.95,8.73,84,16,2.39,6,1.58,1.36,4.01,1.35,0.92,79,18.8086,6.95,3.24,3.3,2.9,2.8,3.2,1.9,2.2,4.2,3.2,0.388,0,133.625,53.38566762,5.764749647,6425.604312,5526.2,2
50,53,45,56,6.1,5.51,9.84,90,6,0,4,1.61,0.96,2.94,0.6,1.84,39,15.2734,5.51,4.63,3,6,6,4,3,1.6,3,5,0.327,301.5,154.45,54.92209844,4.744201998,2732.424208,6483.32,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.1,80.8,70.4,74.8,7.914,7.18,9.649,90,15.5,1.44,6.7,2.626,1.505,2.849,0.801,1.417,56.6,16.78979,7.18,3.507,3,3,3,3,3,3,3,3,0.315,268.4,146.825,55.59564779,5.422313902,3821.539277,7025.73,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
69,75,32,100,9.99,8.63,8.2,86,16,0,4,2.53,1.49,4.61,1.37,0.44,79,16.6992,8.63,4.18,3.2,2.8,2,3.3,3,2.7,3,3.1,0.365,2882.5,758.995,174.7634749,4.294055041,13768.65547,6536.38,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
59,136,91,100,11.05,10.07,7.89,91,19,0,6,2.19,1.98,5.9,0.99,0,74,17.8125,10.07,6.81,2,6,1,2,2,4,6,4,0.354,2499.4,739.025,154.3958757,4.815768467,11260.55026,5009.84,1
59.3,91.4,82,84.6,7.931,7.141,8.517,89.8,16.5,0.527,5.9,2.259,1.523,3.36,0.79,0.038,60,17.30126,7.13,3.553,3,3,3,3,4,3,3,4,0.325,279.2,134.875,54.96963629,4.958300347,3100.469061,6595.92,1
54,98,71,83,8.27,7.92,9.51,96,9,0,7,2.78,1.71,3.44,0.35,1.6,74,16.4062,7.92,2.18,4.1,3.6,3.6,3.3,2,1.9,2.8,3.1,0.353,0,122.3166667,55.22445298,5.520426541,5431.591866,6734.01,1
44,111,52,80,7.68,6.95,8.71,90,8,2.87,5,1.33,1.49,4.14,0.74,0.85,68,12.334,6.95,3.1,4,3,3,3,5,4,5,4,0.338,361.5,109.3333333,44.73331588,6.014020255,3027.649975,4832.08,1
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
51,87,74,100,12.71,10.89,6.88,86,21,0,13,5.18,1.63,4.08,1.84,0.69,36,15,12.42,4.08,4.2,4.9,4.1,3.6,1.9,2.7,2.7,3.3,0.363,118.2,120.275,53.10724518,3.447143338,1303.879717,6111.51,2
55.9,87.3,81.8,77,7.967,7.235,9.435,90,14.2,0.622,6.2,2.193,1.644,3.481,0.803,1.237,47.8,17.13599,7.24,3.107,4,6,5,2,1,2,2,3,0.318,0,127,57.27606073,5.821193949,3153.253811,6443.95,0
53.7,93.5,58.5,77.9,8.176,7.277,9.26,89.1,13.7,8.865,5.5,2.228,1.868,3.098,0.903,1.18,78,16.2273,7.28,4.085,1,3,2,2,5,4,4,5,0.384,1516.1,651.9,142.2468607,4.56940681,8468.868055,7293.43,2
45,182,98,100,9.14,7.71,7.74,84,17,2.87,6,1.46,1.25,5,1.44,0,50,15.6445,7.71,4.43,3,4,4,4,5,2,3,4,0.356,251.9,199.425,48.45979419,5.126430596,3144.684657,6223.66,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.4,100.4,74.3,71.4,7.931,7.18,9.975,89.8,14.4,1.245,5.9,2.555,1.613,3.009,0.795,1.371,73.8,16.68798,7.181,3.252,3,6,6,4,3,2.1,3,5,0.367,202.9,148.625,55.20745118,4.939001902,4672.744324,6291.19,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.1,80.8,70.4,74.8,7.914,7.18,9.649,90,15.5,1.44,6.7,2.626,1.505,2.849,0.801,1.417,56.6,16.78979,7.18,3.507,3,3,3,3,3,3,3,3,0.315,268.4,146.825,55.59564779,5.422313902,3821.539277,7025.73,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
65,88,38,73,6.81,6.33,8.69,93,11,0,4,1.35,1.1,3.88,0.49,0,77,16.123,6.33,2.7,1.8,2.3,1.9,2.1,3.8,3.2,3.3,4,0.38,2211.3,601.5083333,76.61847045,10.13071407,17107.70735,6146.48,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
62.5,80.5,66.8,84,8.082,7.234,8.536,88.9,14.9,2.979,5.8,2.063,1.378,4.012,0.906,0.102,79.2,17.42259,7.229,3.495,2,6,1,2,2,4,6,4,0.383,2134.6,722.9083333,82.52323415,9.014932283,19308.12654,6444.96,2
59.3,91.4,82,84.6,7.931,7.141,8.517,89.8,16.5,0.527,5.9,2.259,1.523,3.36,0.79,0.038,60,17.30126,7.13,3.553,3,3,3,3,4,3,3,4,0.325,279.2,134.875,54.96963629,4.958300347,3100.469061,6595.92,1
56,119,94,84,8.04,7.35,8.79,91,11,0,7,3.22,1.74,2.39,0.7,0.83,82,16.958,7.35,3.99,3.9,5,4.3,2.9,1.6,1.9,1.4,1.8,0.382,0,115.4583333,61.86911733,4.667194644,4055.252761,6348.18,2
44,100,47,100,9.64,8.89,8.55,92,10,6.71,8,1.8,2.3,4.79,0.76,0.77,56,12.4512,8.89,4,4,3,3,3,5,4,5,4,0.281,2313,623.8583333,123.1293868,5.205931381,9287.019759,7355.54,0
56.4,89.1,73.2,74.3,7.825,6.988,9.71,89,13.8,0.526,6.6,2.618,1.493,2.876,0.865,1.323,70.9,16.63111,6.99,3.511,3,4,3,3,6,3,3,2,0.381,276.3,181.325,55.20185544,5.284230814,3736.247373,6748.93,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
51,78,56,80,7.79,6.18,7.74,79,18,0,6,1.28,0.9,3.99,1.62,0,36,16.7432,6.18,2.82,2.3,2.4,2.5,2.1,1.7,1.9,3.2,1.2,0.302,0,238.25,5.727564928,9.701836498,4738.405458,5789.05,0
55.9,87.3,81.8,77,7.967,7.235,9.435,90,14.2,0.622,6.2,2.193,1.644,3.481,0.803,1.237,47.8,17.13599,7.24,3.107,4,6,5,2,1,2,2,3,0.318,0,127,57.27606073,5.821193949,3153.253811,6443.95,0
53.7,93.5,58.5,77.9,8.176,7.277,9.26,89.1,13.7,8.865,5.5,2.228,1.868,3.098,0.903,1.18,78,16.2273,7.28,4.085,1,3,2,2,5,4,4,5,0.384,1516.1,651.9,142.2468607,4.56940681,8468.868055,7293.43,2
46,140,83,96,8.18,7.45,7.74,91,18,3.35,3,1.01,0.3,6.15,0.74,0,48,15.4688,7.45,4.1,3,4,4,4,5,2,3,4,0.38,257.9,168.9,45.96017526,5.15225076,2912.668011,6378.69,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.4,100.4,74.3,71.4,7.931,7.18,9.975,89.8,14.4,1.245,5.9,2.555,1.613,3.009,0.795,1.371,73.8,16.68798,7.181,3.252,3,6,6,4,3,2.1,3,5,0.367,202.9,148.625,55.20745118,4.939001902,4672.744324,6291.19,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.1,80.8,70.4,74.8,7.914,7.18,9.649,90,15.5,1.44,6.7,2.626,1.505,2.849,0.801,1.417,56.6,16.78979,7.18,3.507,3,3,3,3,3,3,3,3,0.315,268.4,146.825,55.59564779,5.422313902,3821.539277,7025.73,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
65,90,41,78,7.84,7.41,9.53,95,10,0,4,3.3,1.12,2.98,0.44,1.03,78,15.5859,7.41,3.15,2.5,2.8,2,2,1.5,1.9,2.8,3.1,0.38,0,227.85,11.66726189,8.89551366,7168.836629,5884.46,2
